GATE_SI_LF: 1107.335,1104.88,879.2846,1043.495,1,0
Connection: LF_D06,LF_A01,42,12,7,10,3,2
Connection: LF_E01,LF_D01,239,2,15,2,3,3
Connection: LF_D01,LF_B02,197,7,8,45,3,3
Connection: LF_B02,LF_S07,45,20,24,19,0,2
Connection: LF_B02,LF_A17,2,16,48,11,2,0
Connection: LF_B02,LF_C01,18,4,152,15,3,3
Connection: LF_C01,LF_B03,4,21,97,21,2,0
Connection: LF_B03,LF_C02,3,21,150,20,2,0
Connection: LF_B03,LF_B05,46,5,5,48,0,2
Connection: LF_B05,LF_D04,39,13,3,51,0,3
Connection: LF_D04,LF_A14,100,55,5,12,3,3
Connection: LF_D04,LF_A11,6,12,43,15,2,0
Connection: LF_A14,LF_S05,11,12,14,26,3,1
Connection: LF_A11,LF_A13,2,29,43,6,1,3
Connection: LF_A11,LF_A12,5,13,42,5,2,0
Connection: LF_A13,LF_C02,2,31,126,5,1,0
Connection: LF_A13,LF_A12,7,6,26,30,3,1
Connection: LF_A12,LF_B01,5,29,44,58,1,3
Connection: LF_B01,LF_D07,18,54,189,20,3,3
Connection: LF_C02,LF_A02,4,20,45,19,2,0
Connection: LF_A02,LF_H02,4,6,203,12,2,0
Connection: LF_H02,LF_A01,19,51,50,10,2,0
Connection: LF_A01,LF_E05,4,26,253,25,2,0
Connection: LF_E05,LF_B04,15,10,96,8,2,0
Connection: LF_B04,LF_D08,4,32,3,6,2,2
Connection: LF_B04,LF_S03,4,10,24,18,2,0
